Start Time, Target Speed, Time Span, Average Distance, Sighting Count, Max Sighting Interval, Energy Spent
Sat Nov  8 10:40:33 2025,1.098,8.00265,2.43166,3,5.39976,13.8647
Sat Nov  8 10:40:32 2025,1.168,8.51079,2.43747,3,5.54,15.0353
Sat Nov  8 10:40:33 2025,1.184,40.1195,5.26881,3,37.3912,74.5585
Sat Nov  8 10:41:35 2025,0.908,5.7012,3.02262,3,4.50907,10.0037
Sat Nov  8 10:41:35 2025,1.192,13.2827,3.4723,3,8.00586,23.6574
Sat Nov  8 10:41:35 2025,1.178,36.6507,4.51278,4,25.8073,89.0732
Sat Nov  8 10:42:32 2025,0.922,8.42041,3.24422,3,2.96442,16.6434
Sat Nov  8 10:42:32 2025,0.916,8.56519,3.2562,3,3.02687,16.6825
Sat Nov  8 10:42:32 2025,1.252,12.9265,3.67349,3,5.49192,22.7114
Sat Nov  8 10:43:46 2025,1.058,6.27731,2.83733,3,5.33393,9.9328
Sat Nov  8 10:43:46 2025,1.174,7.94624,2.5879,3,4.17925,15.3635
Sat Nov  8 10:43:46 2025,1.258,20.0799,4.5287,1,16.8299,39.5628
Sat Nov  8 10:45:24 2025,0.9,7.66645,3.20429,3,5.38636,13.8112
Sat Nov  8 10:45:24 2025,1.156,10.8717,3.51595,3,3.94735,21.8931
Sat Nov  8 10:45:24 2025,1.292,15.7924,3.76085,3,8.3643,29.5473
Sat Nov  8 10:46:13 2025,1.004,6.28432,2.74062,3,5.25722,9.97788
Sat Nov  8 10:46:13 2025,1.25,10.5821,3.15031,3,4.06883,17.6101
Sat Nov  8 10:46:14 2025,1.276,12.9189,3.41148,3,8.66118,18.8062
Sat Nov  8 10:47:29 2025,0.902,7.70012,3.26174,3,5.21516,8.98347
Sat Nov  8 10:47:29 2025,1.008,13.1775,3.61641,3,5.27871,16.5434
Sat Nov  8 10:47:29 2025,1.24,19.3068,3.20824,8,4.78353,26.1872
Sat Nov  8 10:49:00 2025,1.128,8.2016,2.49327,3,5.12114,17.8942
Sat Nov  8 10:49:00 2025,1.022,12.8607,3.65936,3,5.03286,23.5573
Sat Nov  8 10:50:34 2025,1.03,8.84939,3.14432,3,3.11231,17.7812
Sat Nov  8 10:50:34 2025,0.916,10.8831,3.469,3,4.59845,19.439
Sat Nov  8 10:50:33 2025,1.112,12.2358,3.52347,3,4.47526,21.0377
Sat Nov  8 10:51:00 2025,1.05,9.46975,3.14466,3,4.59166,22.7566
Sat Nov  8 10:51:00 2025,1.226,11.5409,3.51708,3,4.10464,25.6842
