Start Time, Target Speed, Time Span, Average Distance, Sighting Count, Max Sighting Interval, Energy Spent
Thu Sep 18 16:36:19 2025,1.114,25.185,3.92383,1,20.4909,86.4682
Thu Sep 18 16:36:19 2025,1.014,37.694,3.15653,17,6.39067,97.263
Thu Sep 18 16:36:20 2025,1.04,70.4994,4.33663,26,25.6132,178.649
Thu Sep 18 17:00:09 2025,0.89,24.1803,2.7676,14,4.91526,56.0409
Thu Sep 18 17:00:09 2025,0.974,29.8347,3.06949,13,5.01013,76.1945
Thu Sep 18 17:00:09 2025,1.112,52.786,4.5533,17,15.323,127.866
Thu Sep 18 17:00:09 2025,1.064,56.3966,4.16865,21,15.785,134.086
Thu Sep 18 17:00:10 2025,1.12,56.6631,4.67455,17,16.4269,134.825
Thu Sep 18 17:02:28 2025,0.918,12.2589,2.40666,8,3.20917,34.1903
Thu Sep 18 17:02:28 2025,0.916,18.2009,2.62224,10,3.35591,43.5942
Thu Sep 18 17:02:28 2025,0.924,22.341,2.98209,9,4.87815,54.9426
Thu Sep 18 17:02:28 2025,1.126,26.5066,3.46591,1,21.7996,83.302
Thu Sep 18 17:02:28 2025,1.14,28.5813,4.57157,1,22.9698,91.5437
Thu Sep 18 17:03:45 2025,0.822,6.97621,2.21252,6,1.90285,21.7778
Thu Sep 18 17:03:45 2025,0.888,12.8815,2.57321,9,2.44149,30.776
Thu Sep 18 17:03:45 2025,1.05,27.6536,4.47564,1,22.8612,88.7892
Thu Sep 18 17:03:45 2025,1.058,56.7381,4.02811,23,15.4024,144.232
Thu Sep 18 17:03:44 2025,1.094,60.3184,4.59931,21,20.4413,154.941
Thu Sep 18 17:06:23 2025,1.2,21.1019,5.39604,3,17.5735,50.8959
Thu Sep 18 17:06:24 2025,1.032,27.6963,4.83247,1,23.1785,89.3718
Thu Sep 18 17:06:23 2025,1.054,89.5844,3.83328,43,22.8256,218.599
Thu Sep 18 17:08:53 2025,0.894,17.926,2.77449,9,6.64077,45.242
Thu Sep 18 17:08:53 2025,0.874,27.1702,5.03576,1,23.6162,85.6911
Thu Sep 18 17:08:53 2025,1.102,57.8931,4.2481,19,14.7499,142.874
Thu Sep 18 17:08:53 2025,0.992,74.0099,3.1582,39,6.51072,170.339
Thu Sep 18 17:10:33 2025,1.13,26.7019,3.62804,1,21.9402,87.6702
Thu Sep 18 17:10:33 2025,1.024,101.236,4.22792,54,24.0451,246.282
Thu Sep 18 17:12:34 2025,0.944,22.8207,2.89053,11,4.86884,60.7276
