Start Time, Target Speed, Time Span, Average Distance, Sighting Count, Max Sighting Interval, Energy Spent
Fri Nov  7 15:46:56 2025,0.904,19.3629,3.46364,7,7.93885,39.9177
Fri Nov  7 15:46:56 2025,1.024,21.1964,3.62699,7,7.8262,43.41
Fri Nov  7 15:47:46 2025,1.252,14.5673,4.06489,1,10.8619,33.8729
Fri Nov  7 15:47:46 2025,1.158,29.1168,3.6725,11,7.86079,57.0748
Fri Nov  7 15:47:46 2025,1.188,34.8468,3.48416,17,7.71566,65.7105
Fri Nov  7 15:48:38 2025,0.926,9.93529,3.62444,3,3.91582,20.9506
Fri Nov  7 15:48:38 2025,0.922,16.1639,3.43409,7,5.52193,28.2599
Fri Nov  7 15:48:38 2025,1.296,64.2586,3.80826,29,12.39,130.953
Fri Nov  7 15:50:17 2025,1.09,9.12639,3.22348,3,3.64252,21.7808
Fri Nov  7 15:50:17 2025,1.036,18.0971,3.27111,9,5.82291,37.3361
Fri Nov  7 15:50:17 2025,1.238,25.1299,3.37051,13,5.88618,53.0288
Fri Nov  7 15:51:07 2025,1.104,9.74355,2.42014,5,4.30125,20.0066
Fri Nov  7 15:51:07 2025,1.07,10.0695,3.26009,3,3.35301,21.0455
Fri Nov  7 15:51:07 2025,1.132,20.0595,3.53112,9,5.81907,38.5086
Fri Nov  7 15:52:03 2025,0.938,12.072,3.8568,3,5.67834,23.5615
Fri Nov  7 15:52:03 2025,0.918,15.0735,2.83903,9,7.58426,24.5445
Fri Nov  7 15:52:03 2025,1.15,45.1936,3.58302,22,7.76442,86.4315
Fri Nov  7 15:53:21 2025,1.176,9.19244,3.12317,3,2.97046,21.3718
Fri Nov  7 15:53:21 2025,1.194,9.56189,3.08254,3,3.05554,22.3095
Fri Nov  7 15:53:21 2025,0.936,16.4155,3.4327,7,5.59949,30.1022
Fri Nov  7 15:54:18 2025,0.956,18.633,3.40138,7,7.73183,39.7959
Fri Nov  7 15:54:18 2025,0.954,18.6476,3.1236,9,7.50715,39.134
Fri Nov  7 15:54:18 2025,1.026,21.0425,3.65453,7,7.71866,44.2647
Fri Nov  7 15:55:18 2025,1.074,11.6849,3.77735,3,5.43353,25.6312
Fri Nov  7 15:55:18 2025,1.136,19.0631,3.37219,9,5.61759,38.442
Fri Nov  7 15:55:18 2025,1.148,19.4902,3.37971,9,5.56953,39.2697
Fri Nov  7 15:55:51 2025,1.198,11.1842,3.36562,3,3.5306,30.5489
Fri Nov  7 15:55:51 2025,0.944,17.1223,3.46011,9,5.72156,37.8384
